Red meat and poultry production (million pounds),,,,,,,,,,,,,,,
Type 1/,Commercial 2/,,,,,,,,,,Federally inspected,,,,
,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Broilers 5/,Other chicken 5/,Turkey 5/,Total poultry 4/ 5/ 6/,Total red meat and poultry 4/
Dec-2017,"2,148.4",6.6,"2,235.0",12.8,"4,402.7","2,123.0",6.4,"2,224.1",11.8,"4,365.3","3,324.8",41.2,461.1,"3,838.2","8,203.5"
Nov-2017,"2,290.6",6.4,"2,244.8",12.4,"4,554.2","2,265.8",6.3,"2,233.5",11.4,"4,517.0","3,437.3",45.4,517.2,"4,012.1","8,529.1"
Oct-2017,"2,303.0",6.4,"2,316.5",11.9,"4,637.8","2,270.1",6.2,"2,302.5",10.9,"4,589.7","3,709.5",48.3,554.2,"4,324.2","8,913.9"
Sep-2017,"2,225.6",6.1,"2,164.9",11.3,"4,407.8","2,195.0",5.9,"2,151.2",10.1,"4,362.2","3,429.9",43.7,467.9,"3,952.6","8,314.8"
Aug-2017,"2,402.1",6.4,"2,210.5",12.9,"4,631.9","2,373.7",6.2,"2,196.1",11.6,"4,587.6","3,763.6",50.7,543.1,"4,369.2","8,956.8"
Jul-2017,"2,107.9",5.7,"1,864.9",11.0,"3,989.4","2,084.2",5.5,"1,853.2",9.9,"3,952.9","3,357.6",43.1,467.5,"3,878.8","7,831.7"
Jun-2017,"2,280.3",6.3,"2,053.2",12.4,"4,352.3","2,254.6",6.2,"2,042.2",11.3,"4,314.3","3,542.5",49.2,522.2,"4,125.1","8,439.4"
May-2017,"2,163.4",6.3,"2,095.9",11.8,"4,277.5","2,135.7",6.1,"2,083.8",10.5,"4,236.2","3,647.9",45.9,523.2,"4,228.2","8,464.4"
Apr-2017,"1,963.1",5.8,"1,988.2",11.5,"3,968.7","1,936.9",5.7,"1,976.9",10.4,"3,929.9","3,216.3",39.8,436.2,"3,702.6","7,632.5"
Mar-2017,"2,249.7",6.4,"2,267.6",13.7,"4,537.5","2,220.2",6.3,"2,254.6",12.7,"4,493.8","3,582.2",45.2,530.6,"4,169.9","8,663.7"
